Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1978-79,18,TOT,WHA,80,46,64,110,20,19,,,,,,,,270,17,,
1978-79,18,INR,WHA,8,3,3,6,-3,0,3,0,0,,,,,17,17.6,,
1978-79,18,EDO,WHA,72,43,61,104,23,19,34,9,0,,,,,253,17,,
1979-80,19,EDM,NHL,79,51,86,137,14,21,37,13,1,6,63,22,1,284,18,,
1980-81,20,EDM,NHL,80,55,109,164,41,28,36,15,4,3,68,38,3,261,21.1,,
1981-82,21,EDM,NHL,80,92,120,212,80,26,68,18,6,12,79,39,2,370,24.9,,
1982-83,22,EDM,NHL,80,71,125,196,61,59,47,18,6,9,85,36,4,348,20.4,,
1983-84,23,EDM,NHL,74,87,118,205,78,39,55,20,12,11,80,27,11,326,26.7,,
1984-85,24,EDM,NHL,80,73,135,208,100,52,54,8,11,7,92,36,7,354,20.6,,
1985-86,25,EDM,NHL,80,52,163,215,71,46,38,11,3,6,105,43,15,350,14.9,,
1986-87,26,EDM,NHL,79,62,121,183,69,28,42,13,7,4,82,33,6,288,21.5,,
1987-88,27,EDM,NHL,64,40,109,149,39,24,26,9,5,3,65,40,4,211,19,,
1988-89,28,LAK,NHL,78,54,114,168,15,26,38,11,5,5,62,42,10,303,17.8,,
1989-90,29,LAK,NHL,73,40,102,142,8,42,26,10,4,4,70,30,2,236,16.9,,
1990-91,30,LAK,NHL,78,41,122,163,30,16,33,8,0,5,70,51,1,212,19.3,,
1991-92,31,LAK,NHL,74,31,90,121,-12,34,17,12,2,2,46,42,2,215,14.4,,
1992-93,32,LAK,NHL,45,16,49,65,6,6,14,0,2,1,24,24,1,141,11.3,,
1993-94,33,LAK,NHL,81,38,92,130,-25,20,20,14,4,0,42,47,3,233,16.3,,
1994-95,34,LAK,NHL,48,11,37,48,-20,6,8,3,0,1,15,19,3,142,7.7,,
1995-96,35,TOT,NHL,80,23,79,102,-13,34,16,6,1,3,38,41,0,195,11.8,,
1995-96,35,LAK,NHL,62,15,66,81,-7,32,10,5,0,2,34,32,0,144,10.4,,
1995-96,35,STL,NHL,18,8,13,21,-6,2,6,1,1,1,4,9,0,51,15.7,,
1996-97,36,NYR,NHL,82,25,72,97,12,28,19,6,0,2,46,25,1,286,8.7,,
1997-98,37,NYR,NHL,82,23,67,90,-11,28,17,6,0,4,43,24,0,201,11.4,,
1998-99,38,NYR,NHL,70,9,53,62,-23,14,6,3,0,3,26,27,0,132,6.8,1475,21:04
9 yrs,,EDM,NHL,696,583,1086,1669,553,323,403,125,55,61,719,314,53,2792,20.9,,
8 yrs,,LAK,NHL,539,246,672,918,-5,182,166,63,17,20,363,287,22,1626,15.1,,
3 yrs,,NYR,NHL,234,57,192,249,-22,70,42,15,0,9,115,76,1,619,9.2,1475,21:04
1 yr,,STL,NHL,18,8,13,21,-6,2,6,1,1,1,4,9,0,51,15.7,,
1 yr,,EDO,WHA,72,43,61,104,23,19,34,9,0,,,,,253,17,,
1 yr,,INR,WHA,8,3,3,6,-3,0,3,0,0,,,,,17,17.6,,
Career,,20 yrs,NHL,1487,894,1963,2857,520,577,617,204,73,91,1201,686,76,5088,17.6,1475,21:04
Career,,1 yr,WHA,80,46,64,110,20,19,37,9,0,,,,,270,17,,
,,,,,,,,,,,,,,,,,,,,
